Product,Price,Region,Description,Image_URL,News_Title,News_Description,News_Link
iPhone 12,699,North America,"The iPhone 12 and iPhone 12 Mini (stylized and marketed as iPhone 12 mini) are smartphones developed and marketed by Apple Inc. They are the fourteenth-generation iPhones, succeeding the iPhone 11. They were unveiled at a virtually held Apple Special Event at Apple Park in Cupertino, California, on October 13, 2020, alongside the ""premium flagship"" iPhone 12 Pro and iPhone 12 Pro Max and HomePod Mini. Pre-orders for the iPhone 12 started on October 16, 2020, and the phone was released in most countries on October 23, 2020, alongside the iPhone 12 Pro and fourth-generation iPad Air. Pre-orders for the iPhone 12 Mini began on November 6, 2020, and the phone was released on November 13, 2020, alongside the iPhone 12 Pro Max.
The major upgrades over the iPhone 11 include the addition of a Super Retina XDR OLED as opposed to the Liquid Retina LED-backlit LCD IPS panel on the iPhone 11 and XR, 5G support, the introduction of MagSafe, Apple A14 Bionic system on a chip (SoC) and high-dynamic-range video Dolby Vision 4K up to 30 fps. The iPhone 12 and iPhone 12 Mini, like the iPhone 12 Pro and iPhone 12 Pro Max, are the first iPhone models from Apple to no longer include a power adapter or EarPods headphones found in prior iPhone models; however, a USB-C to Lightning cable is included; this change was retroactively applied to other iPhone models sold by Apple, such as the iPhone XR, iPhone 11 and the second-generation iPhone SE.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/IPhone_12_Blue.svg/500px-IPhone_12_Blue.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 12,720,Europe,"The iPhone 12 and iPhone 12 Mini (stylized and marketed as iPhone 12 mini) are smartphones developed and marketed by Apple Inc. They are the fourteenth-generation iPhones, succeeding the iPhone 11. They were unveiled at a virtually held Apple Special Event at Apple Park in Cupertino, California, on October 13, 2020, alongside the ""premium flagship"" iPhone 12 Pro and iPhone 12 Pro Max and HomePod Mini. Pre-orders for the iPhone 12 started on October 16, 2020, and the phone was released in most countries on October 23, 2020, alongside the iPhone 12 Pro and fourth-generation iPad Air. Pre-orders for the iPhone 12 Mini began on November 6, 2020, and the phone was released on November 13, 2020, alongside the iPhone 12 Pro Max.
The major upgrades over the iPhone 11 include the addition of a Super Retina XDR OLED as opposed to the Liquid Retina LED-backlit LCD IPS panel on the iPhone 11 and XR, 5G support, the introduction of MagSafe, Apple A14 Bionic system on a chip (SoC) and high-dynamic-range video Dolby Vision 4K up to 30 fps. The iPhone 12 and iPhone 12 Mini, like the iPhone 12 Pro and iPhone 12 Pro Max, are the first iPhone models from Apple to no longer include a power adapter or EarPods headphones found in prior iPhone models; however, a USB-C to Lightning cable is included; this change was retroactively applied to other iPhone models sold by Apple, such as the iPhone XR, iPhone 11 and the second-generation iPhone SE.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/IPhone_12_Blue.svg/500px-IPhone_12_Blue.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 12,710,Asia,"The iPhone 12 and iPhone 12 Mini (stylized and marketed as iPhone 12 mini) are smartphones developed and marketed by Apple Inc. They are the fourteenth-generation iPhones, succeeding the iPhone 11. They were unveiled at a virtually held Apple Special Event at Apple Park in Cupertino, California, on October 13, 2020, alongside the ""premium flagship"" iPhone 12 Pro and iPhone 12 Pro Max and HomePod Mini. Pre-orders for the iPhone 12 started on October 16, 2020, and the phone was released in most countries on October 23, 2020, alongside the iPhone 12 Pro and fourth-generation iPad Air. Pre-orders for the iPhone 12 Mini began on November 6, 2020, and the phone was released on November 13, 2020, alongside the iPhone 12 Pro Max.
The major upgrades over the iPhone 11 include the addition of a Super Retina XDR OLED as opposed to the Liquid Retina LED-backlit LCD IPS panel on the iPhone 11 and XR, 5G support, the introduction of MagSafe, Apple A14 Bionic system on a chip (SoC) and high-dynamic-range video Dolby Vision 4K up to 30 fps. The iPhone 12 and iPhone 12 Mini, like the iPhone 12 Pro and iPhone 12 Pro Max, are the first iPhone models from Apple to no longer include a power adapter or EarPods headphones found in prior iPhone models; however, a USB-C to Lightning cable is included; this change was retroactively applied to other iPhone models sold by Apple, such as the iPhone XR, iPhone 11 and the second-generation iPhone SE.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/IPhone_12_Blue.svg/500px-IPhone_12_Blue.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 13,799,North America,"The iPhone 13 and iPhone 13 Mini (stylized as iPhone 13 mini) are smartphones developed and marketed by Apple. They are the fifteenth generation of iPhones, succeeding the iPhone 12 and 12 Mini. They were unveiled at an Apple Event in Apple Park in Cupertino, California, on September 14, 2021, alongside the higher-priced iPhone 13 Pro and iPhone 13 Pro Max flagships. They were released on September 24, 2021.
The iPhone 13 Mini was discontinued in September 2023, and the iPhone 13 was discontinued in September 2024 with the announcement of the iPhone 16.

",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/IPhone_13_vector.svg/500px-IPhone_13_vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 13,820,Europe,"The iPhone 13 and iPhone 13 Mini (stylized as iPhone 13 mini) are smartphones developed and marketed by Apple. They are the fifteenth generation of iPhones, succeeding the iPhone 12 and 12 Mini. They were unveiled at an Apple Event in Apple Park in Cupertino, California, on September 14, 2021, alongside the higher-priced iPhone 13 Pro and iPhone 13 Pro Max flagships. They were released on September 24, 2021.
The iPhone 13 Mini was discontinued in September 2023, and the iPhone 13 was discontinued in September 2024 with the announcement of the iPhone 16.

",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/IPhone_13_vector.svg/500px-IPhone_13_vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 13,810,Asia,"The iPhone 13 and iPhone 13 Mini (stylized as iPhone 13 mini) are smartphones developed and marketed by Apple. They are the fifteenth generation of iPhones, succeeding the iPhone 12 and 12 Mini. They were unveiled at an Apple Event in Apple Park in Cupertino, California, on September 14, 2021, alongside the higher-priced iPhone 13 Pro and iPhone 13 Pro Max flagships. They were released on September 24, 2021.
The iPhone 13 Mini was discontinued in September 2023, and the iPhone 13 was discontinued in September 2024 with the announcement of the iPhone 16.

",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/IPhone_13_vector.svg/500px-IPhone_13_vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 14,899,North America,"The iPhone 14 and iPhone 14 Plus are smartphones developed and marketed by Apple Inc. They are the sixteenth-generation iPhones, succeeding the iPhone 13 and iPhone 13 Mini, and were announced during Apple Event, Apple Park in Cupertino, California, on September 7, 2022, alongside the higher-priced iPhone 14 Pro and iPhone 14 Pro Max flagships. The iPhone 14 and iPhone 14 Plus feature a 6.1-inch (15 cm) and 6.7-inch (17 cm) display, improvements to the rear-facing camera, and satellite connectivity for contacting emergency services when a user in trouble is beyond the range of Wi-Fi or cellular networks. The iPhone 14 was made available on September 16, 2022, and iPhone 14 Plus was made available on October 7, 2022, priced at $799 and $899 respectively and was launched with iOS 16. Pre-orders for the iPhone 14 and iPhone 14 Plus began on September 9, 2022. Along with the 14 Pro and 14 Pro Max, the iPhone 14 and 14 Plus are the last iPhones to feature the Lightning port, as their successors, the iPhone 15 and 15 Plus (announced on September 12, 2023), use a USB-C port instead, per European Commission regulation.
The iPhone 14 does not have a ""Mini"" version like its predecessor, the iPhone 13. Instead, Apple returned to a larger model with the iPhone 14 Plus. Apple had not introduced a ""Plus"" model iPhone since the iPhone 8 Plus in 2017. Both iPhone 14 models (as well as iPhone 14 Pro models) sold in the United States, ended support for physical SIM cards, making them the first iPhone models since the CDMA variant of the iPhone 4 not to come with a discrete SIM card reader, requiring activation by way of eSIM.
To comply with mandates, the iPhone 14 models, along with the iPhone SE (third generation), were discontinued in the European Union in 2024, completing the iPhone's transition from a Lightning connection to USB-C. The iPhone 14 models alongside the iPhone SE (third generation) were later discontinued worldwide on February 19, 2025, following the unveil of the iPhone 16e.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/IPhone_14_vector.svg/500px-IPhone_14_vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 14,920,Europe,"The iPhone 14 and iPhone 14 Plus are smartphones developed and marketed by Apple Inc. They are the sixteenth-generation iPhones, succeeding the iPhone 13 and iPhone 13 Mini, and were announced during Apple Event, Apple Park in Cupertino, California, on September 7, 2022, alongside the higher-priced iPhone 14 Pro and iPhone 14 Pro Max flagships. The iPhone 14 and iPhone 14 Plus feature a 6.1-inch (15 cm) and 6.7-inch (17 cm) display, improvements to the rear-facing camera, and satellite connectivity for contacting emergency services when a user in trouble is beyond the range of Wi-Fi or cellular networks. The iPhone 14 was made available on September 16, 2022, and iPhone 14 Plus was made available on October 7, 2022, priced at $799 and $899 respectively and was launched with iOS 16. Pre-orders for the iPhone 14 and iPhone 14 Plus began on September 9, 2022. Along with the 14 Pro and 14 Pro Max, the iPhone 14 and 14 Plus are the last iPhones to feature the Lightning port, as their successors, the iPhone 15 and 15 Plus (announced on September 12, 2023), use a USB-C port instead, per European Commission regulation.
The iPhone 14 does not have a ""Mini"" version like its predecessor, the iPhone 13. Instead, Apple returned to a larger model with the iPhone 14 Plus. Apple had not introduced a ""Plus"" model iPhone since the iPhone 8 Plus in 2017. Both iPhone 14 models (as well as iPhone 14 Pro models) sold in the United States, ended support for physical SIM cards, making them the first iPhone models since the CDMA variant of the iPhone 4 not to come with a discrete SIM card reader, requiring activation by way of eSIM.
To comply with mandates, the iPhone 14 models, along with the iPhone SE (third generation), were discontinued in the European Union in 2024, completing the iPhone's transition from a Lightning connection to USB-C. The iPhone 14 models alongside the iPhone SE (third generation) were later discontinued worldwide on February 19, 2025, following the unveil of the iPhone 16e.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/IPhone_14_vector.svg/500px-IPhone_14_vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 14,910,Asia,"The iPhone 14 and iPhone 14 Plus are smartphones developed and marketed by Apple Inc. They are the sixteenth-generation iPhones, succeeding the iPhone 13 and iPhone 13 Mini, and were announced during Apple Event, Apple Park in Cupertino, California, on September 7, 2022, alongside the higher-priced iPhone 14 Pro and iPhone 14 Pro Max flagships. The iPhone 14 and iPhone 14 Plus feature a 6.1-inch (15 cm) and 6.7-inch (17 cm) display, improvements to the rear-facing camera, and satellite connectivity for contacting emergency services when a user in trouble is beyond the range of Wi-Fi or cellular networks. The iPhone 14 was made available on September 16, 2022, and iPhone 14 Plus was made available on October 7, 2022, priced at $799 and $899 respectively and was launched with iOS 16. Pre-orders for the iPhone 14 and iPhone 14 Plus began on September 9, 2022. Along with the 14 Pro and 14 Pro Max, the iPhone 14 and 14 Plus are the last iPhones to feature the Lightning port, as their successors, the iPhone 15 and 15 Plus (announced on September 12, 2023), use a USB-C port instead, per European Commission regulation.
The iPhone 14 does not have a ""Mini"" version like its predecessor, the iPhone 13. Instead, Apple returned to a larger model with the iPhone 14 Plus. Apple had not introduced a ""Plus"" model iPhone since the iPhone 8 Plus in 2017. Both iPhone 14 models (as well as iPhone 14 Pro models) sold in the United States, ended support for physical SIM cards, making them the first iPhone models since the CDMA variant of the iPhone 4 not to come with a discrete SIM card reader, requiring activation by way of eSIM.
To comply with mandates, the iPhone 14 models, along with the iPhone SE (third generation), were discontinued in the European Union in 2024, completing the iPhone's transition from a Lightning connection to USB-C. The iPhone 14 models alongside the iPhone SE (third generation) were later discontinued worldwide on February 19, 2025, following the unveil of the iPhone 16e.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/IPhone_14_vector.svg/500px-IPhone_14_vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 15,999,North America,"The iPhone 15 and iPhone 15 Plus are smartphones developed and marketed by Apple. They are the seventeenth generation of iPhones, succeeding the iPhone 14 and iPhone 14 Plus. The devices were announced on September 12, 2023, during the Apple Event at Apple Park in Cupertino, California, alongside the higher-priced flagship iPhone 15 Pro and 15 Pro Max. Pre-orders began on September 15, 2023, and the devices were made available on September 22, 2023.
Like the iPhone 15 Pro and Pro Max, the 15 and 15 Plus are the first iPhones to replace the proprietary Lightning connector with USB-C to comply with European Union mandates.
The iPhone 15 and 15 Plus are the last iPhones to feature 6 GB of RAM and the mute switch, as they do not feature the Action Button, unlike the 15 Pro series and subsequent models.
With the launch of the iPhone 16 series on September 20, 2024, the Action Button become standard on both the regular iPhone 16 models and the iPhone 16 Pro models. The iPhone 16e (an entry-level model of the iPhone 16 series, and the spiritual successor to the iPhone SE (3rd generation)) which was launched on February 28, 2025 also featured the Action Button.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/IPhone_15_Vector.svg/500px-IPhone_15_Vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 15,1020,Europe,"The iPhone 15 and iPhone 15 Plus are smartphones developed and marketed by Apple. They are the seventeenth generation of iPhones, succeeding the iPhone 14 and iPhone 14 Plus. The devices were announced on September 12, 2023, during the Apple Event at Apple Park in Cupertino, California, alongside the higher-priced flagship iPhone 15 Pro and 15 Pro Max. Pre-orders began on September 15, 2023, and the devices were made available on September 22, 2023.
Like the iPhone 15 Pro and Pro Max, the 15 and 15 Plus are the first iPhones to replace the proprietary Lightning connector with USB-C to comply with European Union mandates.
The iPhone 15 and 15 Plus are the last iPhones to feature 6 GB of RAM and the mute switch, as they do not feature the Action Button, unlike the 15 Pro series and subsequent models.
With the launch of the iPhone 16 series on September 20, 2024, the Action Button become standard on both the regular iPhone 16 models and the iPhone 16 Pro models. The iPhone 16e (an entry-level model of the iPhone 16 series, and the spiritual successor to the iPhone SE (3rd generation)) which was launched on February 28, 2025 also featured the Action Button.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/IPhone_15_Vector.svg/500px-IPhone_15_Vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 15,1010,Asia,"The iPhone 15 and iPhone 15 Plus are smartphones developed and marketed by Apple. They are the seventeenth generation of iPhones, succeeding the iPhone 14 and iPhone 14 Plus. The devices were announced on September 12, 2023, during the Apple Event at Apple Park in Cupertino, California, alongside the higher-priced flagship iPhone 15 Pro and 15 Pro Max. Pre-orders began on September 15, 2023, and the devices were made available on September 22, 2023.
Like the iPhone 15 Pro and Pro Max, the 15 and 15 Plus are the first iPhones to replace the proprietary Lightning connector with USB-C to comply with European Union mandates.
The iPhone 15 and 15 Plus are the last iPhones to feature 6 GB of RAM and the mute switch, as they do not feature the Action Button, unlike the 15 Pro series and subsequent models.
With the launch of the iPhone 16 series on September 20, 2024, the Action Button become standard on both the regular iPhone 16 models and the iPhone 16 Pro models. The iPhone 16e (an entry-level model of the iPhone 16 series, and the spiritual successor to the iPhone SE (3rd generation)) which was launched on February 28, 2025 also featured the Action Button.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/IPhone_15_Vector.svg/500px-IPhone_15_Vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 15 Pro,1199,North America,"The iPhone 15 Pro and iPhone 15 Pro Max are smartphones that were developed and marketed by Apple Inc. They are the seventeenth-generation flagship iPhones, succeeding the iPhone 14 Pro and iPhone 14 Pro Max.
The devices were unveiled alongside the lower-priced iPhone 15 and iPhone 15 Plus during the Apple Event at Apple Park in Cupertino, California, on September 12, 2023. Pre-orders began on September 15, and the devices were made available to the general public on September 22. The iPhone 15 Pro and iPhone 15 Pro Max were discontinued on September 9, 2024, following the announcement of the iPhone 16 Pro and iPhone 16 Pro Max.
Similar to the iPhone 15 and 15 Plus, the 15 Pro and Pro Max replaced the proprietary Lightning connector with USB-C. They also support Apple Intelligence, which uses AI to prioritize privacy-centric functions.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/IPhone_15_Pro_Vector.svg/500px-IPhone_15_Pro_Vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 15 Pro,1220,Europe,"The iPhone 15 Pro and iPhone 15 Pro Max are smartphones that were developed and marketed by Apple Inc. They are the seventeenth-generation flagship iPhones, succeeding the iPhone 14 Pro and iPhone 14 Pro Max.
The devices were unveiled alongside the lower-priced iPhone 15 and iPhone 15 Plus during the Apple Event at Apple Park in Cupertino, California, on September 12, 2023. Pre-orders began on September 15, and the devices were made available to the general public on September 22. The iPhone 15 Pro and iPhone 15 Pro Max were discontinued on September 9, 2024, following the announcement of the iPhone 16 Pro and iPhone 16 Pro Max.
Similar to the iPhone 15 and 15 Plus, the 15 Pro and Pro Max replaced the proprietary Lightning connector with USB-C. They also support Apple Intelligence, which uses AI to prioritize privacy-centric functions.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/IPhone_15_Pro_Vector.svg/500px-IPhone_15_Pro_Vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
iPhone 15 Pro,1210,Asia,"The iPhone 15 Pro and iPhone 15 Pro Max are smartphones that were developed and marketed by Apple Inc. They are the seventeenth-generation flagship iPhones, succeeding the iPhone 14 Pro and iPhone 14 Pro Max.
The devices were unveiled alongside the lower-priced iPhone 15 and iPhone 15 Plus during the Apple Event at Apple Park in Cupertino, California, on September 12, 2023. Pre-orders began on September 15, and the devices were made available to the general public on September 22. The iPhone 15 Pro and iPhone 15 Pro Max were discontinued on September 9, 2024, following the announcement of the iPhone 16 Pro and iPhone 16 Pro Max.
Similar to the iPhone 15 and 15 Plus, the 15 Pro and Pro Max replaced the proprietary Lightning connector with USB-C. They also support Apple Intelligence, which uses AI to prioritize privacy-centric functions.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/IPhone_15_Pro_Vector.svg/500px-IPhone_15_Pro_Vector.svg.png,IPhone,"accessibility features. Up to the <span class=""searchmatch"">iPhone</span> 8 and 8 Plus, <span class=""searchmatch"">i</span><span class=""searchmatch"">Phones</span> had a single button on the front panel, with the <span class=""searchmatch"">iPhone</span> 5s and later integrating a Touch",https://en.wikipedia.org/?curid=8841749
